grupo_edad|sexo|escolaridad|estado_origen|estado_destino|n_muestra_sin_pond|p_kappa1|p_kappa5|p_kappa20|delta_1_vs_5|delta_20_vs_5
25-29|mujer|superior|formal_IMSS|informal|7968|0.1111244253152889|0.11113985591887428|0.11119758304705325|1.543060358537296e-05|5.772712817897485e-05
25-29|mujer|superior|formal_IMSS|desempleado|7968|0.03563503750064624|0.03563334103174216|0.03562699440522585|1.6964689040777081e-06|6.346626516315346e-06
25-29|mujer|superior|formal_IMSS|fuera_PEA|7968|0.08816623807339265|0.08815234698562828|0.08810037930986737|1.3891087764367205e-05|5.196767576090555e-05
25-29|mujer|superior|formal_ISSSTE|formal_IMSS|2033|0.07840384176588168|0.07842098432384535|0.0784846739784328|1.7142557963673033e-05|6.368965458744547e-05
25-29|mujer|superior|formal_ISSSTE|formal_ISSSTE|2033|0.7725971509585874|0.7725282378022514|0.7722722051183973|6.891315633594797e-05|0.0002560326838541016
25-29|mujer|superior|formal_ISSSTE|informal|2033|0.07836240029590814|0.07840180739614291|0.0785482163864209|3.940710023477012e-05|0.00014640899027798526
25-29|mujer|superior|formal_ISSSTE|desempleado|2033|0.019546639500878985|0.01955744670296488|0.019597598643495893|1.0807202085894724e-05|4.015194053101287e-05
25-29|mujer|superior|formal_ISSSTE|fuera_PEA|2033|0.05108996747874372|0.05109152377479534|0.051097305873253056|1.5562960516204982e-06|5.782098457716989e-06
25-29|mujer|superior|informal|formal_IMSS|5716|0.18093561388967544|0.1808929573219558|0.18073352505361556|4.2656567719651095e-05|0.00015943226834022606
25-29|mujer|superior|informal|formal_ISSSTE|5716|0.04583625720832368|0.045812347378547016|0.045722982513985565|2.3909829776666558e-05|8.93648645614517e-05
25-29|mujer|superior|informal|informal|5716|0.5642088343690079|0.5643091472985525|0.5646840747424634|0.00010031292954459925|0.0003749274439108774
25-29|mujer|superior|informal|desempleado|5716|0.03886060310431314|0.03884997591611179|0.038810255966486316|1.0627188201349502e-05|3.9719949625476036e-05
25-29|mujer|superior|informal|fuera_PEA|5716|0.17015869142867973|0.17013557208483288|0.1700491617234491|2.3119343846855767e-05|8.641036138376523e-05
25-29|mujer|superior|desempleado|formal_IMSS|1184|0.2416927635069415|0.24179943014718558|0.24219311775730581|0.00010666664024408523|0.0003936876101202358
25-29|mujer|superior|desempleado|formal_ISSSTE|1184|0.051783746952338804|0.05170228064307945|0.05140160297549533|8.14663092593565e-05|0.0003006776675841191
25-29|mujer|superior|desempleado|informal|1184|0.27401919926013324|0.2742481611587326|0.27509321883057714|0.00022896189859933358|0.0008450576718445624
25-29|mujer|superior|desempleado|desempleado|1184|0.11659749436046411|0.11660406265767641|0.11662830507523213|6.568297212294905e-06|2.4242417555719875e-05
