grupo_edad|sexo|escolaridad|estado_origen|estado_destino|probabilidad|n_muestra_pond|n_muestra_sin_pond|baja_confianza
35-39|hombre|superior|formal_IMSS|fuera_PEA|0.020982050440381875|375227.0|1323|False
35-39|hombre|superior|informal|formal_IMSS|0.11181987923290101|336194.0|1207|False
35-39|hombre|superior|informal|informal|0.8294560160925688|336194.0|1207|False
35-39|hombre|superior|informal|desempleado|0.02481359036595889|336194.0|1207|False
35-39|hombre|superior|informal|fuera_PEA|0.03391051430857128|336194.0|1207|False
35-39|hombre|superior|desempleado|formal_IMSS|0.438378774952507|22642.0|66|False
35-39|hombre|superior|desempleado|informal|0.35487535971439327|22642.0|66|False
35-39|hombre|superior|desempleado|desempleado|0.15704604661158353|22642.0|66|False
35-39|hombre|superior|desempleado|fuera_PEA|0.04969981872151613|22642.0|66|False
35-39|hombre|superior|fuera_PEA|formal_IMSS|0.12946324327898476|19121.0|71|False
35-39|hombre|superior|fuera_PEA|informal|0.3815473072337984|19121.0|71|False
35-39|hombre|superior|fuera_PEA|desempleado|0.1151434073773601|19121.0|71|False
35-39|hombre|superior|fuera_PEA|fuera_PEA|0.37384604210985667|19121.0|71|False
35-39|mujer|basica-|formal_IMSS|formal_IMSS|0.8277573997332549|180304.0|677|False
35-39|mujer|basica-|formal_IMSS|informal|0.12351658269136209|180304.0|677|False
35-39|mujer|basica-|formal_IMSS|desempleado|0.009311638372703929|180304.0|677|False
35-39|mujer|basica-|formal_IMSS|fuera_PEA|0.03941437920267907|180304.0|677|False
35-39|mujer|basica-|informal|formal_IMSS|0.04995449144619428|585637.0|1663|False
35-39|mujer|basica-|informal|informal|0.7256426884384709|585637.0|1663|False
35-39|mujer|basica-|informal|desempleado|0.0062506756317489654|585637.0|1663|False
35-39|mujer|basica-|informal|fuera_PEA|0.21815214448358589|585637.0|1663|False
35-39|mujer|basica-|desempleado|formal_IMSS|0.21708931565878675|17182.0|57|False
35-39|mujer|basica-|desempleado|informal|0.24336895645784345|17182.0|57|False
35-39|mujer|basica-|desempleado|desempleado|0.021896105007894667|17182.0|57|False
35-39|mujer|basica-|desempleado|fuera_PEA|0.5176456228754751|17182.0|57|False
35-39|mujer|basica-|fuera_PEA|formal_IMSS|0.015891374431472635|723103.0|1979|False
35-39|mujer|basica-|fuera_PEA|informal|0.19656035462741492|723103.0|1979|False
35-39|mujer|basica-|fuera_PEA|desempleado|0.007484589410050744|723103.0|1979|False
35-39|mujer|basica-|fuera_PEA|fuera_PEA|0.7800636815310616|723103.0|1979|False
35-39|mujer|media_sup|formal_IMSS|formal_IMSS|0.815107825046544|237125.0|770|False
35-39|mujer|media_sup|formal_IMSS|informal|0.09949674413768628|237125.0|770|False
35-39|mujer|media_sup|formal_IMSS|desempleado|0.012566797337317267|237125.0|770|False
35-39|mujer|media_sup|formal_IMSS|fuera_PEA|0.07282863347845232|237125.0|770|False
35-39|mujer|media_sup|informal|formal_IMSS|0.09133830107460066|340333.0|1010|False
35-39|mujer|media_sup|informal|informal|0.7251811394245032|340333.0|1010|False
